id,year,sampling_date,previous_crop,growth_stage,lat,lon,disease,intensity
1,2013,2013-11-13,soybean,02,-35.3527,-63.1422,STEM_CANKER,NO_REGISTER
2,2013,2013-11-13,soybean,02,-35.3843,-63.1,STEM_CANKER,NO_REGISTER
3,2013,2013-11-29,soybean,03,-36.5036,-62.1922,STEM_CANKER,NO_REGISTER
4,2013,2013-12-05,"NA",02,-36.5826,-57.2726,STEM_CANKER,NO_REGISTER
5,2013,2013-12-05,"NA",02,-37.1386,-57.3123,STEM_CANKER,NO_REGISTER
6,2013,2013-12-10,wheat,10,-37.4262,-61.8611,STEM_CANKER,ABSENT
7,2013,2013-12-16,"NA",10,-38.6085,-60.1583,STEM_CANKER,ABSENT
8,2013,2013-12-18,wheat,10,-38.3206,-60.241,STEM_CANKER,ABSENT
9,2014,2014-01-14,"NA",16,-36.8886,-57.7616,STEM_CANKER,ABSENT
10,2014,2014-01-14,"NA",16,-36.9377,-57.763,STEM_CANKER,ABSENT
11,2014,2014-01-14,"NA",15,-37.0969,-58.0116,STEM_CANKER,ABSENT
12,2014,2014-01-16,"NA",16,-36.0733,-61.8071,STEM_CANKER,ABSENT
13,2014,2014-01-20,wheat,15,-34.4534,-60.5639,STEM_CANKER,ABSENT
14,2014,2014-01-20,corn,15,-38.4746,-58.4198,STEM_CANKER,LOW
15,2014,2014-01-21,wheat,12,-35.9684,-62.7333,STEM_CANKER,NO_REGISTER
16,2014,2014-01-21,soybean,15,-36.4931,-62.5096,STEM_CANKER,ABSENT
17,2014,2014-01-22,soybean,16,-35.0333,-63.0167,STEM_CANKER,NO_REGISTER
18,2014,2014-01-26,corn,17,-37.3167,-59.1333,STEM_CANKER,NO_REGISTER
19,2014,2014-01-27,soybean,16,-35.5829,-59.1756,STEM_CANKER,NO_REGISTER
20,2014,2014-01-27,wheat,16,-36.5746,-59.2236,STEM_CANKER,NO_REGISTER
21,2014,2014-01-27,soybean,15,-37.6808,-58.4117,STEM_CANKER,NO_REGISTER
22,2014,2014-01-27,"NA",14,-38.0529,-58.4428,STEM_CANKER,NO_REGISTER
23,2014,2014-01-28,corn,16,-37.4,-58.4131,STEM_CANKER,NO_REGISTER
24,2014,2014-01-29,corn,16,-35.6124,-63.3691,STEM_CANKER,NO_REGISTER
25,2014,2014-01-29,corn,16,-38.3312,-58.5074,STEM_CANKER,NO_REGISTER
26,2014,2014-01-30,corn,15,-35.8088,-62.9434,STEM_CANKER,LOW
27,2014,2014-01-30,wheat,16,-38.4244,-60.8779,STEM_CANKER,NO_REGISTER
28,2014,2014-02-03,wheat,16,-37.1493,-62.737,STEM_CANKER,ABSENT
29,2014,2014-02-04,"NA",17,-36.6803,-62.7228,STEM_CANKER,ABSENT
30,2014,2014-02-06,"NA",17,-35.0528,-62.9053,STEM_CANKER,ABSENT
31,2014,2014-02-06,soybean,16,-35.6124,-63.3691,STEM_CANKER,MEDIUM
32,2014,2014-02-06,"NA",17,-35.964,-58.1092,STEM_CANKER,ABSENT
33,2014,2014-02-07,"NA",17,-36.4148,-63.3631,STEM_CANKER,ABSENT
34,2014,2014-02-10,soybean,17,-35.7218,-63.0538,STEM_CANKER,LOW
35,2014,2014-02-10,"NA",16,-37.1559,-57.0534,STEM_CANKER,ABSENT
36,2014,2014-02-10,wheat,16,-37.4262,-61.8611,STEM_CANKER,LOW
37,2014,2014-02-12,"NA",15,-36.02,-62.1027,STEM_CANKER,ABSENT
38,2014,2014-02-15,wheat,17,-37.7636,-58.3107,STEM_CANKER,ABSENT
39,2014,2014-02-16,wheat,16,-37,-62,STEM_CANKER,NO_REGISTER
40,2014,2014-02-17,wheat,16,-34.4534,-60.5639,STEM_CANKER,LOW
41,2014,2014-02-19,"NA",17,-37.8348,-61.7794,STEM_CANKER,ABSENT
42,2014,2014-02-20,wheat,17,-38.3206,-60.241,STEM_CANKER,ABSENT
43,2014,2014-12-02,"NA",10,-37.1559,-57.0534,STEM_CANKER,ABSENT
44,2014,2014-12-04,"NA",03,-37.2957,-61.1565,STEM_CANKER,NO_REGISTER
45,2014,2014-12-05,"NA",02,-37.5618,-60.8609,STEM_CANKER,NO_REGISTER
46,2014,2014-12-09,soybean,NO,-37.76837333333334,-58.31765,STEM_CANKER,NO_REGISTER
47,2014,2014-12-11,wheat,NO,-37.1493,-62.737,STEM_CANKER,ABSENT
48,2015,2015-01-20,soybean,15,-36.5755,-62.9918,STEM_CANKER,LOW
49,2015,2015-01-20,soybean,15,-36.7626,-63.1045,STEM_CANKER,ABSENT
50,2015,2015-01-21,soybean,15,-35.8026,-62.9817,STEM_CANKER,HIGH
